gamma,delta_left,delta_right,Z_prime,abs_Z_prime,inv_abs_Z_prime,delta_min,delta_geom,delta_prod,log_delta_sum
4795.780117832,1.4933531169999696,0.5727856000003158,-6.143131069669736,6.143131069669736,0.1627834387153588,0.5727856000003158,0.9248627796236419,0.8553711611331694,-0.15621979765387967
4890.627756889,0.41330557099990983,1.1552991870003098,3.0806529448255278,3.0806529448255278,0.3246065096945332,0.41330557099990983,0.6910076628800108,0.47749159015889464,-0.7392087314491307
5345.528297342,1.0207647299994278,0.5416682730001412,-3.4519038876018593,3.4519038876018593,0.28969520373718455,0.5416682730001412,0.7435831281290919,0.5529158684382455,-0.5925494256734555
5933.03353656,0.29747101300017675,0.9543614829999569,-1.6044103850994473,1.6044103850994473,0.62328192916678,0.29747101300017675,0.5328178648622324,0.28389487711634814,-1.2591512603424957
6439.140618634,0.40013762899980065,0.9846077869997316,3.332518517098448,3.332518517098448,0.3000733513915111,0.40013762899980065,0.6276771665313414,0.3939786253848134,-0.9314586214481555
7557.731650015,0.6078015450002567,0.8870431300001655,-4.372741143060207,4.372741143060207,0.2286895032849264,0.6078015450002567,0.7342657454191664,0.5391461848959642,-0.6177685298249431
7687.513293018,1.7302994849997049,1.0783998719998635,-17.574353983070942,17.574353983070942,0.056901095821973426,1.0783998719998635,1.3659995399505491,1.8659547431451116,0.6237728487254127
7850.381575865,1.0586016810002548,1.3677993290002632,13.65374273750807,13.65374273750807,0.07323999135071656,1.0586016810002548,1.2033098806835665,1.4479546689506992,0.3701519875002084
8577.971246764,0.572544767999716,1.2656542120002996,-5.584062118669888,5.584062118669888,0.1790811023854079,0.572544767999716,0.8512600643619874,0.7246436971775749,-0.3220751970985223
9360.682314261,0.6572568470000988,0.8447382710000966,4.518039663197502,4.518039663197502,0.22133493163986107,0.6572568470000988,0.745124159142514,0.5552100125378384,-0.5884088358422154
9858.164581113,1.2544054459995095,0.5678330209993874,4.328988462804148,4.328988462804148,0.2310008466394109,0.5678330209993874,0.8439744273139947,0.7122928339599853,-0.3392661684724345
10004.679404166,0.6323503389994585,0.6309275620005792,3.423038985172862,3.423038985172862,0.29213806922199004,0.6309275620005792,0.6316385498963534,0.3989672577151681,-0.9188759263236909
11152.642047185,1.1668348530001822,0.9848608080010308,-9.754052303495119,9.754052303495119,0.10252149249206663,0.9848608080010308,1.0719934310104346,1.1491699161295235,0.13903986968212317
11745.753334692,0.9171004130002984,0.19648570899880724,2.0047941869828563,2.0047941869828563,0.4988043194124402,0.19648570899880724,0.4244963190316997,0.18019712487146258,-1.713703889143495
12887.606958049,1.4304943309998635,0.3120051349997084,-2.920896998058944,2.920896998058944,0.3423605832949745,0.3120051349997084,0.6680730325794703,0.44632157685992996,-0.8067155624256304
17751.694979015,0.574797622000915,1.5433291629997257,7.462544860405977,7.462544860405977,0.1340025445348677,0.574797622000915,0.9418608882722038,0.8871019328569049,-0.11979538460901806
17942.039086268,1.2894773420011916,0.1663069970018114,2.2789563978602017,2.2789563978602017,0.4387973376493459,0.1663069970018114,0.46308649780585903,0.2144491044500959,-1.5396828440592292
18549.405552026,0.7792534590007563,0.48528630700093345,-3.3304803436310917,3.3304803436310917,0.300256989029318,0.48528630700093345,0.6149479923832424,0.3781610333361803,-0.9724351599639203
21820.372289955,0.7387985460009077,0.515836529997614,6.068983370814673,6.068983370814673,0.1647722425487161,0.515836529997614,0.6173323888606451,0.3810992783363908,-0.9646953647373067
22583.508574052,0.5616912430014054,0.9348745200004487,-5.343127018848631,5.343127018848631,0.18715632184530884,0.5616912430014054,0.724645314060192,0.5251108311893943,-0.6441459316430486
22655.24745963,0.4932859290020133,0.8962231679979595,5.547254940881456,5.547254940881456,0.18026934234270123,0.4932859290020133,0.6649017055317281,0.4420942780190009,-0.8162321209638469
23308.9183694,0.420519103998231,0.6490478200030338,2.4034170305958438,2.4034170305958438,0.41607427561253685,0.420519103998231,0.5224337352427396,0.27293700771968094,-1.2985142513755166
23827.494405356,0.39853451199815026,0.5863962530020217,-2.618140652946983,2.618140652946983,0.38195044978748505,0.39853451199815026,0.4834243938070405,0.23369914452770457,-1.4537206980015576
24219.062567672,0.47834875199987437,1.3645592760003638,5.641068060130584,5.641068060130584,0.1772713942360857,0.47834875199987437,0.8079203096250435,0.6527352267046261,-0.426583704053307
24564.683223066,0.5614426719985204,1.4756017990002874,15.723706871122634,15.723706871122634,0.06359823470358313,0.5614426719985204,0.9102009760687718,0.828465816836545,-0.1881797020656193
24648.261667488,0.456222846001765,0.8225740099987888,6.383765191179384,6.383765191179384,0.1566473656301968,0.456222846001765,0.6125986091142648,0.3752770558887317,-0.9800907100984106
25205.427195501,1.3012276500012376,0.34848955199777265,3.8124510633146893,3.8124510633146893,0.2622984487912514,0.34848955199777265,0.6733975354840896,0.4534642407960458,-0.7908388641432935
25392.832620473,0.8221917880000547,1.0583418880014506,10.54270800742576,10.54270800742576,0.09485229025556333,0.8221917880000547,0.9328236753059317,0.8701600092112662,-0.13907816561082673
26219.110850647,1.113407217002532,0.7352585720000206,6.379750921763785,6.379750921763785,0.15674593134798026,0.7352585720000206,0.9047884838059107,0.8186422004277988,-0.2001081643007231
26398.719164579,0.5812057030016149,1.377749749000941,-8.602677286064628,8.602677286064628,0.11624288192466406,0.5812057030016149,0.894849714437229,0.8007560114283904,-0.22219898327360532
26983.965043891,0.9132897889976448,1.003401964000659,-16.479439942101255,16.479439942101255,0.06068167386230314,0.9132897889976448,0.9572861473885352,0.9163967679819843,-0.08730585527284807
27328.495585092,0.7566405770012352,0.6828383469983237,7.272183688134402,7.272183688134402,0.1375102779144099,0.6828383469983237,0.7187928775881,0.5166632008713813,-0.660364065750328
27497.172998394,0.9847725649997301,1.052231212001061,-8.871300941711095,8.871300941711095,0.11272303877080742,0.9847725649997301,1.0179432349669897,1.0362084296150598,0.03556831048904681
27996.061824006,0.8153003599982185,0.6911282479995862,-6.851136181282608,6.851136181282608,0.14596119147828543,0.6911282479995862,0.750651123624684,0.5634771093990006,-0.573628568511969
28062.89924389,0.7989413340001192,0.9361885819998861,-12.6918635899793,12.6918635899793,0.07879063566279874,0.7989413340001192,0.8648466653567377,0.747959754578669,-0.2904061064943616
28213.589460498,1.103530423999473,0.45540354100012337,6.214522029584516,6.214522029584516,0.16091342105466105,0.45540354100012337,0.708908783053735,0.5025516626907275,-0.6880568330087974
28326.333759063,0.4095302329988044,1.8350341719997232,10.666282364627078,10.666282364627078,0.09375337777634042,0.4095302329988044,0.8668921340165769,0.7515019720198148,-0.28568144568102083
28461.642700742,0.3748437689973798,0.8977456080028787,-4.120227547849912,4.120227547849912,0.2427050419877507,0.3748437689973798,0.5800985668872518,0.33651434730464336,-1.0891144939425552
28793.840434834,0.5575792250019731,0.560134281997307,2.3727002090479123,2.3727002090479123,0.42146074594112654,0.5575792250019731,0.55885529330328,0.3123192388530951,-1.1637294128342295
28901.183168818,0.3947280719985429,1.102499042001,4.676937316083867,4.676937316083867,0.2138151385012208,0.3947280719985429,0.6596872904864055,0.4351873212292952,-0.8319787170695286
