k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
79,1986.757107716,0.49999983717295177,1986.7571120343334,-1.628270482334493e-07,4.318333367336891e-06,-0.019555379762463652,0.5186278929414605
80,2009.176634123,0.49999512302092924,2009.1766391014432,-4.876979070755905e-06,4.978443257641629e-06,-0.5857207316408679,0.5979064878058705
81,2013.872097714,0.5000043020936439,2013.8720983514086,4.30209364388201e-06,6.374086751748109e-07,0.5166775169883064,0.07655219966317396
82,2015.186728609,0.5000044294549857,2015.1867358511797,4.429454985688253e-06,7.242179663080606e-06,0.5319734978041422,0.869779162344594
83,2019.264600216,0.5000095769310006,2019.2646022968358,9.576931000565558e-06,2.0808358840440633e-06,1.1501806653551911,0.24990648898518966
84,2026.738258912,0.4999957927328279,2026.7382657053215,-4.207267172096074e-06,6.793321517761797e-06,-0.5052889443437304,0.8158717090902688
85,2029.385479551,0.500007292152972,2029.3854722073359,7.292152972016019e-06,-7.34366403776221e-06,0.8757809111008438,-0.8819673430454417
86,2035.077440096,0.5000032373426324,2035.077436496202,3.2373426324117105e-06,-3.59979799213761e-06,0.38880189308142005,-0.43233245070854204
87,2038.841738251,0.5000067079356315,2038.841760302433,6.707935631511397e-06,2.2051433006708976e-05,0.8056169421452394,2.648356961765116
88,2039.44321874,0.4999760602761893,2039.4431878023245,-2.3939723810706415e-05,-3.093767554673832e-05,-2.875138962512287,-3.7155865739023417
89,2058.450651119,0.5000025327508851,2058.4506515361836,2.532750885131385e-06,4.1718340071383864e-07,0.30418106782510324,0.05010334535978675
90,2090.036206757,0.5000089759489561,2090.0362292444293,8.975948956102542e-06,2.2487429305328988e-05,1.0780032707674914,2.700719718979254
91,2110.822371848,0.5000035787682947,2110.8223705296446,3.578768294709711e-06,-1.3183553164708428e-06,0.4298068032565127,-0.15833326928881925
92,2130.555102283,0.5000007560067716,2130.5550873787975,7.560067716294583e-07,-1.4904202544130385e-05,0.09079572271685471,-1.7899811116717956
